DOI,Publication Year,Title,Primary,Countries,Pathogens
10.3201/eid3103.240594,2025,"Annual Hospitalizations for COVID-19, Influenza, and Respiratory Syncytial Virus, United States, 2023-2024",,,
10.3201/eid3103.241361,2025,Neurosarcocystosis in Patient with HIV-Induced Immunodeficiency,,,
10.3201/eid3103.241488,2025,"High Prevalence of atpE Mutations in Bedaquiline-Resistant Mycobacterium tuberculosis Isolates, Russia",,,
10.3201/eid3103.240938,2025,"Epidemiology of Buruli Ulcer in Victoria, Australia, 2017-2022",,,
10.3201/eid3103.241580,2025,Lessons Learned from Early Implementation and Scale-up of Stool-Based Xpert Testing to Diagnose Tuberculosis in Children,,,
10.3201/eid3103.240099,2025,"Extended-Spectrum β-Lactamase-Producing Enterobacterales in Municipal Wastewater Collections, Switzerland, 2019-2023",,,
10.3201/eid3103.241365,2025,Tsukamurella tyrosinosolvens Respiratory Infection in Immunocompetent Man,,,
10.3201/eid3103.241727,2025,"National Active Case-Finding Program for Tuberculosis in Prisons, Peru, 2024",,,
10.3201/eid3103.241570,2025,"Macrolide-Resistant Mycoplasma pneumoniae Infections among Children after COVID-19 Pandemic, Ohio, USA",,,
10.3201/eid3103.241217,2025,"Diphtheria Outbreak among Persons Experiencing Homelessness, 2023, Linked to 2022 Diphtheria Outbreak, Frankfurt am Main, Germany",,,
10.3201/eid3103.240657,2025,"Mycobacterium ulcerans in Possum Feces before Emergence in Humans, Australia",,,
10.3201/eid3103.240633,2025,"Model-Based Analysis of Impact, Costs, and Cost-effectiveness of Tuberculosis Outbreak Investigations, United States",,,
10.3201/eid3103.241634,2025,Efficacy and Safety of 4-Month Rifapentine-Based Tuberculosis Treatments in Persons with Diabetes,,,
10.3201/eid3103.241195,2025,"Candida auris Outbreak and Epidemiologic Response in Burn Intensive Care Unit, Illinois, USA, 2021-2023",,,
10.3201/eid3103.231640,2025,Urban Coatis (Nasua nasua) Exposure to Alphainfluenzavirus influenzae,,,
10.3201/eid3103.241406,2025,"Community-Acquired Pneumonia Caused by Avian Chlamydia abortus, the Netherlands",,,
10.3201/eid3103.241675,2025,"Fluoroquinolone Resistance in Drug-Resistant Tuberculosis, Kharkiv, Ukraine, 2019-2023",,,
10.3201/eid3103.241723,2025,Donor-Derived Ehrlichiosis Caused by Ehrlichia chaffeensis from Living Donor Kidney Transplant,,,
10.3201/eid3103.240946,2025,"Haemophilus influenzae Type b Meningitis in Infants, New York, New York, USA, 2022-2023",,,
10.3201/eid3103.240996,2025,"Genomic Characterization of Circulating Dengue Virus, Ethiopia, 2022-2023",,,
10.3201/eid3103.240608,2025,"Mycobacterium nebraskense Isolated from Patients in Connecticut and Oregon, USA",,,
10.3201/eid3103.241134,2025,Genetic Diversity and Geographic Spread of Henipaviruses,,,
10.3201/eid3104.241986,2025,"Maternal and Fetal Implications of Oropouche Fever, Espírito Santo State, Brazil, 2024",,,
10.3201/eid3104.241076,2025,"Emerging Trends in Streptococcal Toxic Shock Syndrome, Japan",,,
10.3201/eid3102.240903,2025,"Prions in Muscles of Cervids with Chronic Wasting Disease, Norway",Yes,Norway,Chronic wasting disease
10.3201/eid3102.241155,2025,"Henipavirus in Northern Short-Tailed Shrew, Alabama, USA",Yes,USA,Novel henipavirus
10.3201/eid3102.240279,2025,"National Surveillance of Human Ehrlichiosis Caused by Ehrlichia ewingii, United States, 2013-2021",Yes,USA,Ehrlichia ewingii
10.3201/eid3102.241146,2025,"Human Infection with Avian Influenza A(H9N2) Virus, Vietnam, April 2024",Yes,Vietnam,Influenza A/H9N2
10.3201/eid3102.240880,2025,"Streptococcus pyogenes emm Type 3.93 Emergence, the Netherlands and England",Yes,"The Netherlands,United Kingdom",Streptococcus pyogenes
10.3201/eid3102.241069,2025,"Bayou Hantavirus Cardiopulmonary Syndrome, Louisiana, USA, 2022-2023",Yes,USA,Bayou virus
10.3201/eid3102.240754,2025,"Arbovirus Epidemics as Global Health Imperative, Africa, 2023",No,,
10.3201/eid3102.240777,2025,"Borrelia spielmanii-Associated Neuroborreliosis in Patient Receiving Rituximab, Belgium",Yes,Belgium,Borrelia spielmanii
10.3201/eid3102.240791,2025,"Dengue and Other Arbovirus Infections among Schoolchildren, Haiti, 2021",Yes,Haiti,"Dengue virus,Chikungunya virus,Zika virus"
10.3201/eid3102.241385,2025,Burkholderia pseudomallei Sequence Type 46 Transmission from Asia to Australia,Yes,Australia,Burkholderia pseudomallei
10.3201/eid3102.241484,2025,"Venezuelan Equine Encephalitis Virus Infection in Nonhuman Primate, Guatemala, 2023",Yes,Guatemala,Venezuelan equine encephalitis virus
10.3201/eid3102.240251,2025,Adaptive Design for Phase II/III Platform Trial of Lassa Fever Therapeutics,No,,
10.3201/eid3102.240422,2025,"Acute Q Fever Patients Requiring Intensive Care Unit Support in Tropical Australia, 2015-2023",Yes,Australia,Coxiella burnetii
10.3201/eid3102.241275,2025,Bjerkandera adusta Fungi as Causative Agent of Invasive Chronic Rhinosinusitis,Yes,Japan,Bjerkandera adusta
10.3201/eid3102.241652,2025,"Outbreak of Serotype 1 Invasive Pneumococcal Disease, Kibera Urban Informal Settlement, Nairobi, Kenya, 2023",Yes,Kenya,Streptococcus pneumoniae
10.3201/eid3102.241219,2025,"Mycoplasma phocimorsus in Woman with Tendinous Panaritium after Cat Scratch, Denmark",Yes,Denmark,Mycoplasma phocimorsus
10.3201/eid3102.240980,2025,"Reemergence of Echinococcus granulosus Infections after 2004 Termination of Control Program in Magallanes Region, Chile",Yes,Chile,Echinococcus granulosus
10.3201/eid3102.241249,2025,"Two Human Infections with Diverse Europe-1 Crimean-Congo Hemorrhagic Fever Virus Strains, North Macedonia, 2024",Yes,North Macedonia,Crimean-Congo haemorrhagic fever
10.3201/eid3102.241387,2025,"Seoul Virus Infection and Subsequent Guillain-Barré Syndrome in Traveler Returning to France from Kenya, 2022",Yes,"Kenya,France",Seoul virus
10.3201/eid3102.241532,2025,Sin Nombre Virus as Unlikely Reverse Zoonotic Threat,No,,
10.3201/eid3102.240399,2025,"Cyclospora Genotypic Variations and Associated Epidemiologic Characteristics, United States, 2018-2021",Yes,USA,"Cyclospora ashfordi,Cyclospora cayetanensis"
10.3201/eid3102.241507,2025,"Amebiasis in Mexico, 2014-2023",Yes,Mexico,Entamoeba histolytica
10.3201/eid3102.240870,2025,"Infection by Tickborne Bacterium Candidatus Midichloria Associated with First Trimester Pregnancy Loss, Tennessee, USA",Yes,USA,Candidatus spp.
10.3201/eid3102.240281,2025,"Contribution of Limited Molecular Testing to Low Ehrlichiosis Diagnosis in High Incidence Area, North Carolina, USA",Yes,USA,Ehrlichia spp.
10.3201/eid3102.241168,2025,"Acute Encephalopathy Associated with Human Adenovirus Type 14 Infection in 7-Year-Old Girl, Japan",Yes,Japan,Human adenovirus type 14
10.3201/eid3102.240983,2025,Sudan Virus Persistence in Immune-Privileged Organs of Nonhuman Primate Survivors,No,,
10.3201/eid3102.240831,2025,"Two Human Cases of Fatal Meningoencephalitis Associated with Potosi and Lone Star Virus Infections, United States, 2020-2023",Yes,USA,"Potosi virus,Lone Star virus"
10.3201/eid3102.241308,2025,"Ixodes scapularis Tick Parasitizing Dog in Dawson County, Montana, USA, 2023",Yes,USA,Ixodes scapularis
10.3201/eid3102.241458,2025,"Respiratory Shedding of Infectious SARS-CoV-2 Omicron XBB.1.41.1 Lineage among Captive White-Tailed Deer, Texas, USA",Yes,USA,SARS-CoV-2
10.3201/eid3102.241777,2025,"Epidemiologic and Genomic Surveillance of Vibrio cholerae and Effectiveness of Single-Dose Oral Cholera Vaccine, Democratic Republic of the Congo",Yes,Democratic Republic of the Congo,Vibrio cholerae
10.3201/eid3102.240395,2025,"Eastern Africa Origin of SAT2 Topotype XIV Foot-and-Mouth Disease Virus Outbreaks, Western Asia, 2023",Yes,"Ethiopia,Iraq,Jordan,Bahrain,Turkey",Foot-and-mouth disease
10.3201/eid3102.240546,2025,"Bacteremia and Community-Acquired Pneumonia Caused by Pantoea stewartii Subspecies indologenes, Australia",Yes,Australia,Pantoea stewartii indologenes
10.3201/eid3102.240533,2025,"Global Epidemiology of Outbreaks of Unknown Cause Identified by Open-Source Intelligence, 2020-2022",No,,
10.3201/eid3102.240906,2025,"Detection of Chronic Wasting Disease Prions in Raw, Processed, and Cooked Elk Meat, Texas, USA",Yes,USA,Chronic wasting disease
10.3201/eid3103.241886,2025,Lack of Competence of US Mosquito Species for Circulating Oropouche Virus,,,
10.3201/eid3102.241300,2025,Short-Lived Neutralizing Antibody Responses to Monkeypox Virus in Smallpox Vaccine-Naive Persons after JYNNEOS Vaccination,No,,
10.3201/eid3102.241510,2025,"Zika Virus Infection in Pregnant Traveler Returning to Denmark from Phuket, Thailand, 2024",Yes,"Denmark,Thailand",Zika virus
10.3201/eid3102.241472,2025,"Diphtheria Toxin-Producing Corynebacterium ramonii in Inner-City Population, Vancouver, British Columbia, Canada, 2019-2023",Yes,Canada,Corynebacterium ramonii
10.3201/eid2207.141678,2016,"Around the World in 1,475 Salmonella Geo-serotypes",,,
10.3201/eid3102.241147,2025,Comparison of Contemporary and Historic Highly Pathogenic Avian Influenza A(H5N1) Virus Replication in Human Lung Organoids,No,,
10.3201/eid3101.241516,2025,A Step Forward in Hypervirulent Klebsiella pneumoniae Diagnostics,No,,
10.3201/eid3101.240151,2025,Rickettsia sibirica mongolitimonae Infections in Spain and Case Review of the Literature,Yes,Spain,Rickettsia sibirica mongolitimonae
10.3201/eid3101.240923,2025,"Spread of Antifungal-Resistant Trichophyton indotineae, United Kingdom, 2017-2024",Yes,United Kingdom,Trichophyton indotineae
10.3201/eid3101.240911,2025,"Low IgG Seroconversion among Persons Vaccinated against Measles, Republic of Congo",Yes,Democratic Republic of the Congo,Measles virus
10.3201/eid3101.241323,2025,"Clonal Complex 398 Methicillin-Resistant Staphylococcus aureus Producing Panton-Valentine Leukocidin, Czech Republic, 2023",Yes,Czech Republic,Staphylococcus aureus
10.3201/eid3101.241012,2025,"Salmonella enterica Serovar Abony Outbreak Caused by Clone of Reference Strain WDCM 00029, Chile, 2024",Yes,Chile,Salmonella enterica
10.3201/eid3101.240568,2025,Domestic Cat Hepadnavirus Infection in Iberian Lynxes,Yes,Spain,Domestic cat hepadnavirus
10.3201/eid3101.240321,2025,"Pneumococcal Septic Arthritis among Adults, France, 2010-2018",Yes,France,Streptococcus pneumoniae
10.3201/eid3101.240940,2025,Neisseria meningitidis Serogroup Y Sequence Type 1466 and Urogenital Infections,Yes,Australia,Neisseria meningitidis
10.3201/eid3101.240875,2025,"Social Contact Patterns in Rural and Urban Settings, Mozambique, 2021-2022",No,,
10.3201/eid3101.240995,2025,Trichuriasis in Human Patients from Côte d'Ivoire Caused by Novel Trichuris incognita Species with Low Sensitivity to Albendazole/Ivermectin Combination Treatment,Yes,Cote d'Ivoire,Trichuris incognita
10.3201/eid3101.230638,2025,"Research and Development of Medical Countermeasures for Emerging Infectious Diseases, China, 1990-2022",No,,
10.3201/eid3101.240476,2025,"Meningococcal C Disease Outbreak Caused by Multidrug-Resistant Neisseria meningitidis, Fiji",Yes,Fiji,Neisseria meningitidis
10.3201/eid3101.241026,2025,Global Health's Evolution and Search for Identity,No,,
10.3201/eid3101.241198,2025,"Endogenous Endophthalmitis Caused by Prototheca Microalga in Birman Cat, Spain",Yes,Spain,Prototheca spp.
10.3201/eid3101.231370,2025,"Case Report of Leprosy in Central Florida, USA, 2022",Yes,USA,Mycobacterium leprae
10.3201/eid3101.241426,2025,Cefiderocol Resistance Conferred by Plasmid-Located Ferric Citrate Transport System in KPC-Producing Klebsiella pneumoniae,No,,
10.3201/eid3101.240737,2025,"Social Contact Patterns and Age Mixing before and during COVID-19 Pandemic, Greece, January 2020-October 2021",No,,
10.3201/eid3101.240916,2025,"Cluster of Legionellosis Cases Associated with Manufacturing Process, South Carolina, USA, 2022",Yes,USA,Legionella pneumophila
10.3201/eid3101.241573,2025,"Identification and Characterization of Vancomycin-Resistant Staphylococcus aureus CC45/USA600, North Carolina, USA, 2021",Yes,USA,Staphylococcus aureus
10.3201/eid3101.241084,2025,"Detection and Genomic Characterization of Novel Mammarenavirus in European Hedgehogs, Italy",Yes,Italy,Novel mammarenavirus
10.3201/eid3101.241138,2025,"Toxigenic Corynebacterium diphtheriae Infections in Low-Risk Patients, Switzerland, 2023",Yes,Switzerland,Corynebacterium diphtheriae
10.3201/eid3101.240401,2025,"Detection of Prions in Wild Pigs (Sus scrofa) from Areas with Reported Chronic Wasting Disease Cases, United States",Yes,USA,Chronic wasting disease-like prions
10.3201/eid3101.240379,2025,"Development and Implementation of a Public Health Event Management System, Nigeria, 2018-2024",No,,
10.3201/eid3101.240722,2025,"Population-Based Study of Emergence and Spread of Escherichia coli Producing OXA-48-Like Carbapenemases, Israel, 2007-2023",Yes,Israel,Escherichia coli
10.3201/eid3101.241140,2025,Surveillance Strategy in Duck Flocks Vaccinated against Highly Pathogenic Avian Influenza Virus,No,,
10.3201/eid3101.241343,2025,Systematic Review of Avian Influenza Virus Infection and Outcomes during Pregnancy,No,,
10.3201/eid3101.241452,2025,Oropouche Virus Genome in Semen and Other Body Fluids from Traveler,Yes,"The Netherlands,Cuba",Oropouche virus
10.3201/eid3101.240888,2025,"Cocirculation of 4 Dengue Virus Serotypes, Putumayo Amazon Basin, 2023-2024",Yes,Ecuador,Dengue virus
10.3201/eid3101.231627,2025,"Invasive Group B Streptococcus Infections Caused by Hypervirulent Clone of S. agalactiae Sequence Type 283, Hong Kong, China, 2021(1)",Yes,China,Streptococcus agalactiae
10.3201/eid3101.241266,2025,"Evidence of Influenza A(H5N1) Spillover Infections in Horses, Mongolia",Yes,Mongolia,Influenza A/H5N1
10.3201/eid3101.241236,2025,"Replication Restriction of Influenza A(H5N1) Clade 2.3.4.4b Viruses by Human Immune Factor, 2023-2024",No,,
10.3201/eid3101.241264,2025,"Fatal Case of Crimean-Congo Hemorrhagic Fever, Portugal, 2024",Yes,Portugal,Crimean-Congo haemorrhagic fever
10.3201/eid3101.241030,2025,"Ongoing Evolution of Middle East Respiratory Syndrome Coronavirus, Saudi Arabia, 2023-2024",Yes,Saudi Arabia,MERS-CoV
10.3201/eid3101.241269,2025,"Case Reports of Human Monkeypox Virus Infections, Uganda, 2024",Yes,"Uganda,Democratic Republic of the Congo",Mpox virus
10.3201/eid3101.241230,2025,The Rise of Mpox in a Post-Smallpox World,No,,
10.3201/eid3101.241210,2025,"Influenza A(H5N1) Virus Clade 2.3.2.1a in Traveler Returning to Australia from India, 2024",Yes,"Australia,India",Influenza A/H5N1
10.3201/eid3012.240757,2024,Experimental Infection of Reindeer with Jamestown Canyon Virus,,,
10.3201/eid3012.240864,2024,Sporotrichosis in Domestic Cat and Zoonotic Transmission,,,
10.3201/eid3012.240538,2024,"Increase in Adult Patients with Varicella Zoster Virus-Related Central Nervous System Infections, Japan",,,
10.3201/eid3012.240649,2024,"Dogs as Reservoirs for Leishmania donovani, Bihar, India, 2018-2022",,,
10.3201/eid3012.240443,2024,"Salmonella sp. Tied to Multistate Outbreak Isolated from Wastewater, United States, 2022",,,
10.3201/eid3012.240695,2024,"Transmission of Swine Influenza A Viruses along Pig Value Chains, Cambodia, 2020-2022",,,
10.3201/eid3012.240432,2024,Concurrent Rabies and Canine Distemper Outbreaks and Infection in Endangered Ethiopian Wolves,,,
10.3201/eid3012.240505,2024,"Feline Panleukopenia Virus in a Marsican Brown Bear and Crested Porcupine, Italy, 2022-2023",,,
10.3201/eid3012.240085,2024,Canine Multidrug-Resistant Pseudomonas aeruginosa Cases Linked to Human Artificial Tears-Related Outbreak,,,
10.3201/eid3012.240310,2024,"Bartonella quintana Infection in Kidney Transplant Recipients from Donor Experiencing Homelessness, United States, 2022",,,
10.3201/eid3012.241089,2024,"Lobomycosis in Amazon Region, Bolivia, 2022",,,
10.3201/eid3012.240425,2024,"Ophthalmic Sequelae of Ebola Virus Disease in Survivors, Sierra Leone",,,
10.3201/eid3012.240467,2024,"Clinical Manifestations, Antifungal Drug Susceptibility, and Treatment Outcomes for Emerging Zoonotic Cutaneous Sporotrichosis, Thailand",,,
10.3201/eid3012.240249,2024,"Rio Mamore Hantavirus Endemicity, Peruvian Amazon, 2020",,,
10.3201/eid3012.241114,2024,"Human Circovirus in Patients with Hepatitis, Hong Kong",,,
10.3201/eid3012.240539,2024,"Transboundary Movement of Yezo Virus via Ticks on Migratory Birds, Japan, 2020-2021",,,
10.3201/eid3012.241126,2024,"Influenza A Virus Antibodies in Ducks and Introduction of Highly Pathogenic Influenza A(H5N1) Virus, Tennessee, USA",,,
10.3201/eid3012.240498,2024,"Umatilla Virus in Zoo-Dwelling Cape Penguins with Hepatitis, Germany",,,
10.3201/eid3012.231733,2024,"Effect of Sexual Partnerships on Zika Virus Transmission in Virus-Endemic Region, Northeast Brazil",,,
10.3201/eid3012.240433,2024,"Bartonella quintana Endocarditis in Persons Experiencing Homelessness, New York, New York, USA, 2020-2023",,,
10.3201/eid3012.240830,2024,"Autochthonous Blastomyces dermatitidis, India",,,
10.3201/eid3012.240339,2024,"Ehrlichia canis in Human and Tick, Italy, 2023",,,
10.3201/eid3012.231084,2024,Operational Risk Assessment Tool for Evaluating Leishmania infantum Introduction and Establishment in the United States through Dog Importation(1),,,
10.3201/eid3012.241330,2024,"Possible New Focus of Diphyllobothriasis, Central Europe",,,
10.3201/eid3012.240655,2024,"Perspectives of Infectious Disease Physicians on Bartonella quintana Cases, United States, 2014-2024",,,
10.3201/eid3012.240536,2024,Zoonotic Potential of Chronic Wasting Disease after Adaptation in Intermediate Species,,,
10.3201/eid3012.240824,2024,"Chikungunya Outbreak Risks after the 2014 Outbreak, Dominican Republic",,,
10.3201/eid3012.240818,2024,Lack of Lloviu Virus Disease Development in Ferret Model,,,
10.3201/eid3012.240390,2024,"Human and Canine Blastomycosis Cases Associated with Riverside Neighborhood, Wisconsin, USA, December 2021-March 2022(1)",,,
10.3201/eid3012.231143,2024,"Mycobacterium leprae in Nine-Banded Armadillos (Dasypus novemcinctus), Ecuador",,,
10.3201/eid3012.231520,2024,"Bacteriologic and Genomic Investigation of Bacillus anthracis Isolated from World War II Site, China",,,
10.3201/eid3012.231657,2024,"Cost-effectiveness Analysis of Japanese Encephalitis Vaccination for Children <15 Years of Age, Bangladesh",,,
10.3201/eid3012.241042,2024,"Novel Mastadenovirus Infection as Cause of Pneumonia in Imported Black-and-White Colobuses (Colobus guereza), Thailand",,,
10.3201/eid3012.231659,2024,"Historical Assessment and Mapping of Human Plague, Kazakhstan, 1926-2003",,,
10.3201/eid3012.240389,2024,Homelessness and Organ Donor-Derived Bartonella quintana Infection,,,
10.3201/eid3101.241491,2025,"Fatal Mixed Plasmodium Infection in Traveler Returning to Colombia from Comoros Islands, 2024",Yes,"Colombia,Comoros Islands","Plasmodium falciparum,Plasmodium vivax"
10.3201/eid3014.240296,2024,Common Patterns and Unique Threats in Antimicrobial Resistance as Demonstrated by Global Gonococcal Surveillance,,,
10.3201/eid3014.240304,2024,The Central Role of the Global Emerging Infections Surveillance Program in Supporting Force Health Protection,,,
10.3201/eid3014.240163,2024,"Comprehensive Surveillance of Severe Fever with Thrombocytopenia Syndrome Virus in Patients with Acute Febrile Illness, Wild Rodents, and Trombiculid Larval Mites, Thailand",,,
10.3201/eid3014.240374,2024,"Azithromycin Resistance Patterns in Escherichia coli and Shigella before and after COVID-19, Kenya",,,
10.3201/eid3014.240152,2024,"Molecular Surveillance of Multidrug-Resistant Bacteria among Refugees from Afghanistan in 2 US Military Hospitals during Operation Allies Refuge, 2021",,,
10.3201/eid3014.240305,2024,Global Emerging Infections Surveillance Program Contributions to Pandemic Preparedness and Response,,,
10.3201/eid3014.240128,2024,"Metagenomic Nanopore Sequencing of Tickborne Pathogens, Mongolia",,,
10.3201/eid3014.240182,2024,"Characteristics of Madariaga and Venezuelan Equine Encephalitis Virus Infections, Panama",,,
10.3201/eid3014.240295,2024,"Serosurveillance for Plasmodium falciparum Malaria in Peruvian Army Peacekeeping Personnel, Central African Republic, 2021-2022",,,
10.3201/eid3014.240231,2024,"Using SARS-CoV-2 Sequencing Data to Identify Reinfection Cases in the Global Emerging Infections Surveillance Program, United States",,,
10.3201/eid3014.240308,2024,"Etiology and Epidemiology of Travelers' Diarrhea among US Military and Adult Travelers, 2018-2023",,,
10.3201/eid3014.240307,2024,"Molecular Characterization of Noroviruses Causing Acute Gastroenteritis Outbreaks among US Military Recruits, 2013-2023",,,
