PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"39374598","Replication-Competent Oropouche Virus in Semen of Traveler Returning to Italy from Cuba, 2024","Castilletti C, Huits R, Mantovani RP, Accordini S, Alladio F, Gobbi F.","Emerg Infect Dis. 2024 Dec;30(12):2684-2686. doi: 10.3201/eid3012.241470. Epub 2024 Oct 7.","Castilletti C","Emerg Infect Dis","2024","2024/10/07","PMC11616654","","10.3201/eid3012.241470"
"38573165","Novel Variant and Known Mutation in 23S rRNA Gene of Mycoplasma pneumoniae, Northern Vietnam, 2023","Nguyen DD, Ho NT, Dover LG, Vo AHM, Ly HTT, Doan PM, Nguyen HT, Luu NTT, Pham AN, Tran HTT.","Emerg Infect Dis. 2024 May;30(5):1034-1036. doi: 10.3201/eid3005.231632. Epub 2024 Apr 4.","Nguyen DD","Emerg Infect Dis","2024","2024/04/04","PMC11060462","","10.3201/eid3005.231632"
"36823667","Reemergence of Lymphocytic Choriomeningitis Mammarenavirus, Germany","Mehl C, Wylezich C, Geiger C, Schauerte N, Mätz-Rensing K, Nesseler A, Höper D, Linnenbrink M, Beer M, Heckel G, Ulrich RG.","Emerg Infect Dis. 2023 Mar;29(3):631-634. doi: 10.3201/eid2903.221822.","Mehl C","Emerg Infect Dis","2023","2023/02/24","PMC9973704","","10.3201/eid2903.221822"
"38561642","Candida auris in US Correctional Facilities","Hennessee I, Forsberg K, Erskine J, Charles A, Russell B, Reyes J, Emery C, Valencia N, Sherman A, Mehr J, Gallion H, Halleck B, Cox C, Bryant M, Nichols D, Medrzycki M, Ham DC, Hagan LM, Lyman M.","Emerg Infect Dis. 2024 Apr;30(13):S36-S40. doi: 10.3201/eid3013.230860.","Hennessee I","Emerg Infect Dis","2024","2024/04/01","PMC10986838","","10.3201/eid3013.230860"
"36823096","Bartonella spp. Infections Identified by Molecular Methods, United States","McCormick DW, Rassoulian-Barrett SL, Hoogestraat DR, Salipante SJ, SenGupta D, Dietrich EA, Cookson BT, Marx GE, Lieberman JA.","Emerg Infect Dis. 2023 Mar;29(3):467-476. doi: 10.3201/eid2903.221223.","McCormick DW","Emerg Infect Dis","2023","2023/02/23","PMC9973681","","10.3201/eid2903.221223"
"37209716","Association of Persistent Symptoms after Lyme Neuroborreliosis and Increased Levels of Interferon-α in Blood","Hernández SA, Ogrinc K, Korva M, Kastrin A, Bogovič P, Rojko T, Kelley KW, Weis JJ, Strle F, Strle K.","Emerg Infect Dis. 2023 Jun;29(6):1091-1101. doi: 10.3201/eid2906.221685.","Hernández SA","Emerg Infect Dis","2023","2023/05/20","PMC10202885","","10.3201/eid2906.221685"
"36958007","Ocular Trematodiasis in Children, Sri Lanka","Mallawarachchi CH, Dissanayake MM, Hendavitharana SR, Senanayake S, Gunathilaka N, Chandrasena NTGA, Yahathugoda TC, Wickramasinghe S, de Silva NR.","Emerg Infect Dis. 2023 Apr;29(4):809-813. doi: 10.3201/eid2904.221517.","Mallawarachchi CH","Emerg Infect Dis","2023","2023/03/23","PMC10045692","","10.3201/eid2904.221517"
"36692511","Monkeypox Virus Evolution before 2022 Outbreak","Dumonteil E, Herrera C, Sabino-Santos G.","Emerg Infect Dis. 2023 Feb;29(2):451-453. doi: 10.3201/eid2902.220962.","Dumonteil E","Emerg Infect Dis","2023","2023/01/24","PMC9881786","","10.3201/eid2902.220962"
"35076366","Seroprevalence of SARS-Cov-2 Antibodies in Adults, Arkhangelsk, Russia","Krieger E, Kudryavtsev A, Sharashova E, Postoev V, Belova N, Shagrov L, Zvedina J, Drapkina O, Kontsevaya A, Shalnova S, Brenn T, Shkolnikov VM, Eggo RM, Leon DA.","Emerg Infect Dis. 2022 Feb;28(2):463-465. doi: 10.3201/eid2802.211640.","Krieger E","Emerg Infect Dis","2022","2022/01/25","PMC8798687","","10.3201/eid2802.211640"
"37347810","Pulmonary Nontuberculous Mycobacteria, Ontario, Canada, 2020","Marras TK, Nelson P, Peci A, Richard-Greenblatt M, Brode S, Sullivan A, Jamieson FB, Kus JV.","Emerg Infect Dis. 2023 Jul;29(7):1415-1419. doi: 10.3201/eid2907.230216.","Marras TK","Emerg Infect Dis","2023","2023/06/22","PMC10310396","","10.3201/eid2907.230216"
"34817318","Coronavirus Disease Spread during Summer Vacation, Israel, 2020","Somekh I, Simões EAF, Somekh E.","Emerg Infect Dis. 2022 Jan;28(1):188-191. doi: 10.3201/eid2801.210177. Epub 2021 Nov 24.","Somekh I","Emerg Infect Dis","2022","2021/11/24","PMC8714207","","10.3201/eid2801.210177"
"38561855","Infection Prevention and Control in Correctional Settings","Kendig NE, Bur S, Zaslavsky J.","Emerg Infect Dis. 2024 Apr;30(13):S88-S93. doi: 10.3201/eid3013.230705.","Kendig NE","Emerg Infect Dis","2024","2024/04/02","PMC10986825","","10.3201/eid3013.230705"
"39661020","Oropouche Virus Genome in Semen and Other Body Fluids from Traveler","Iglói Z, Soochit W, Munnink BBO, Anas AA, von Eije KJ, van der Linden A, Mandigers M, Wijnans K, Voermans J, Chandler FD, van der Eijk AA, GeurtsvanKessel C, Molenkamp R, Sikkema RS, Verstrepen B, Koopmans M.","Emerg Infect Dis. 2025 Jan;31(1):205-206. doi: 10.3201/eid3101.241452. Epub 2024 Dec 11.","Iglói Z","Emerg Infect Dis","2025","2024/12/11","PMC11682789","","10.3201/eid3101.241452"
"38781925","Follow-Up Study of Effectiveness of 23-Valent Pneumococcal Polysaccharide Vaccine Against All-Type and Serotype-Specific Invasive Pneumococcal Disease, Denmark","Nielsen KF, Nielsen LB, Dalby T, Lomholt FK, Slotved HC, Fuursted K, Harboe ZB, Jørgensen CS, Valentiner-Branth P.","Emerg Infect Dis. 2024 Jun;30(6):1164-1172. doi: 10.3201/eid3006.230975.","Nielsen KF","Emerg Infect Dis","2024","2024/05/23","PMC11138992","","10.3201/eid3006.230975"
"30666932","Crimean-Congo Hemorrhagic Fever, Kosovo, 2013-2016","Ahmeti S, Berisha L, Halili B, Ahmeti F, von Possel R, Thomé-Bolduan C, Michel A, Priesnitz S, Reisinger EC, Günther S, Krüger A, Sherifi K, Jakupi X, Hemmer CJ, Emmerich P.","Emerg Infect Dis. 2019 Feb;25(2):321-324. doi: 10.3201/eid2502.171999.","Ahmeti S","Emerg Infect Dis","2019","2019/01/23","PMC6346452","","10.3201/eid2502.171999"
"37877573","Systematic Review and Meta-analysis of Deaths Attributable to Antimicrobial Resistance, Latin America","Ciapponi A, Bardach A, Sandoval MM, Palermo MC, Navarro E, Espinal C, Quirós R.","Emerg Infect Dis. 2023 Nov;29(11):2335-2344. doi: 10.3201/eid2911.230753.","Ciapponi A","Emerg Infect Dis","2023","2023/10/25","PMC10617342","","10.3201/eid2911.230753"
"37347492","Nationwide Outbreak of Candida auris Infections Driven by COVID-19 Hospitalizations, Israel, 2021-2022","Biran R, Cohen R, Finn T, Brosh-Nissimov T, Rahav G, Yahav D, Amit S, Shachor-Meyouhas Y, Atamna A, Bishara J, Ashkenazi-Hoffnung L, Ben Zvi H, Hershman-Sarafov M, Maayan S, Maor Y, Schwartz O, Zimhony O, Lellouche J, Elbaz M, Burdelova E, Mizrahi N, Novikov A, Henig O, Ben-Ami R.","Emerg Infect Dis. 2023 Jul;29(7):1297-1301. doi: 10.3201/eid2907.221888.","Biran R","Emerg Infect Dis","2023","2023/06/22","PMC10310389","","10.3201/eid2907.221888"
"37081604","Human-to-Animal Transmission of SARS-CoV-2, South Korea, 2021","Bae J, Ro C, Kang Y, Ga E, Na W, Song D.","Emerg Infect Dis. 2023 May;29(5):1066-1067. doi: 10.3201/eid2905.221359.","Bae J","Emerg Infect Dis","2023","2023/04/20","PMC10124666","","10.3201/eid2905.221359"
"37209667","Neurologic Complications of Babesiosis, United States, 2011-2021","Locke S, O'Bryan J, Zubair AS, Rethana M, Moffarah AS, Krause PJ, Farhadian SF.","Emerg Infect Dis. 2023 Jun;29(6):1127-1135. doi: 10.3201/eid2906.221890.","Locke S","Emerg Infect Dis","2023","2023/05/20","PMC10202888","","10.3201/eid2906.221890"
"37044126","Case-Control Study of Long COVID, Sapporo, Japan","Asakura T, Kimura T, Kurotori I, Kenichi K, Hori M, Hosogawa M, Saijo M, Nakanishi K, Iso H, Tamakoshi A.","Emerg Infect Dis. 2023 May;29(5):956-966. doi: 10.3201/eid2905.221349. Epub 2023 Apr 12.","Asakura T","Emerg Infect Dis","2023","2023/04/12","PMC10124665","","10.3201/eid2905.221349"
"30882301","Lobomycosis in Soldiers, Colombia","Arenas CM, Rodriguez-Toro G, Ortiz-Florez A, Serrato I.","Emerg Infect Dis. 2019 Apr;25(4):654-660. doi: 10.3201/eid2504.181403.","Arenas CM","Emerg Infect Dis","2019","2019/03/19","PMC6433027","","10.3201/eid2504.181403"
"39447206","Estimating Underdetection of Foodborne Disease Outbreaks","Hedberg CW, Firestone MJ, Kim TN, Edmundson AR, Bender JB.","Emerg Infect Dis. 2024 Nov;30(11):2451. doi: 10.3201/eid3011.240198.","Hedberg CW","Emerg Infect Dis","2024","2024/10/24","PMC11521190","","10.3201/eid3011.240198"
"40133083","Detection of Batborne Hantaviruses, Laos, 2023-2024","Vanhnollat C, Somlor S, Dimitrova K, Medina S, Vongphayloth K, Vungkyly V, Vachouaxiong L, Douangboubpha B, Sanamxay D, Xayaphet V, Paphaphanh P, Theppangna W, Audet J, Buchy P, Safronetz D.","Emerg Infect Dis. 2025 Apr;31(4):814-819. doi: 10.3201/eid3104.241720.","Vanhnollat C","Emerg Infect Dis","2025","2025/03/25","PMC11950268","","10.3201/eid3104.241720"
"40133081","Reemergence of Brucella abortus, Israel, 2021","Bardenstein S, Grupel D, Even-Tov B, Motro Y, Moran-Gilad J.","Emerg Infect Dis. 2025 Apr;31(4):820-823. doi: 10.3201/eid3104.241003.","Bardenstein S","Emerg Infect Dis","2025","2025/03/25","PMC11950253","","10.3201/eid3104.241003"
"39447203","Wastewater Surveillance for Norovirus, California, USA","Yu AT, Burnor E, Rabe A, Rutschmann S, Wolfe MK, Burmester J, Pan CY, Chen A, Guevara H, Morales C, Wadford DA, Boehm AB, Vugia DJ.","Emerg Infect Dis. 2024 Nov;30(11):2438-2441. doi: 10.3201/eid3011.241001.","Yu AT","Emerg Infect Dis","2024","2024/10/24","PMC11521154","","10.3201/eid3011.241001"
"36573734","Short-Finned Pilot Whale Strandings Associated with Pilot Whale Morbillivirus, Brazil","Costa-Silva S, Sacristán C, Soares RM, Carvalho VL, Castilho PV, Cremer MJ, Ewbank AC, Duarte-Benvenuto A, Faita T, Navas-Suárez PE, Vieira JV, Pereira LG, Alves CF, Souza GC, Lemos GG, Silvestre-Perez N, Catão-Dias JL, Keid LB.","Emerg Infect Dis. 2023 Jan;29(1):214-217. doi: 10.3201/eid2901.221549.","Costa-Silva S","Emerg Infect Dis","2023","2022/12/27","PMC9796215","","10.3201/eid2901.221549"
"39320366","Rift Valley Fever Epizootic, Rwanda, 2022","Remera E, Rwagasore E, Nsekuye O, Semakula M, Gashegu M, Rutayisire R, Ishema L, Musanabaganwa C, Butera Y, Nsanzimana S, Muvunyi CM, Ahmed A.","Emerg Infect Dis. 2024 Oct;30(10):2191-2193. doi: 10.3201/eid3010.240264.","Remera E","Emerg Infect Dis","2024","2024/09/25","PMC11431898","","10.3201/eid3010.240264"
"37486231","Detection of Hantavirus during the COVID-19 Pandemic, Arizona, USA, 2020","Hecht G, Dale AP, Ruberto I, Adame G, Close R, Snyder SJ, Pink K, Lemmon N, Rudolfo J, Madsen M, Wiens AL, Cossaboom C, Shoemaker T, Choi MJ, Cannon D, Krapiunaya I, Whitmer S, Mobley M, Talundzic E, Klena JD, Venkat H.","Emerg Infect Dis. 2023 Aug;29(8):1663-1667. doi: 10.3201/eid2908.221808.","Hecht G","Emerg Infect Dis","2023","2023/07/24","PMC10370831","","10.3201/eid2908.221808"
"37081716","Rustrela Virus as Putative Cause of Nonsuppurative Meningoencephalitis in Lions","de le Roi M, Puff C, Wohlsein P, Pfaff F, Beer M, Baumgärtner W, Rubbenstroth D.","Emerg Infect Dis. 2023 May;29(5):1042-1045. doi: 10.3201/eid2905.230172.","de le Roi M","Emerg Infect Dis","2023","2023/04/21","PMC10124629","","10.3201/eid2905.230172"
"35450565","SARS-CoV-2 Antibody Prevalence and Population-Based Death Rates, Greater Omdurman, Sudan","Moser W, Fahal MAH, Abualas E, Bedri S, Elsir MT, Mohamed MFERO, Mahmoud AB, Ahmad AII, Adam MA, Altalib S, DafaAllah OA, Hmed SA, Azman AS, Ciglenecki I, Gignoux E, González A, Mwongera C, Miranda MA.","Emerg Infect Dis. 2022 May;28(5):1026-1030. doi: 10.3201/eid2805.211951.","Moser W","Emerg Infect Dis","2022","2022/04/22","PMC9045432","","10.3201/eid2805.211951"
"35202535","Restaurant-Based Measures to Control Community Transmission of COVID-19, Hong Kong","Ho F, Tsang TK, Gao H, Xiao J, Lau EHY, Wong JY, Wu P, Leung GM, Cowling BJ.","Emerg Infect Dis. 2022 Mar;28(3):759-761. doi: 10.3201/eid2803.211015.","Ho F","Emerg Infect Dis","2022","2022/02/24","PMC8888230","","10.3201/eid2803.211015"
"36573719","Genomic Microevolution of Vibrio cholerae O1, Lake Tanganyika Basin, Africa","Hounmanou YMG, Njamkepo E, Rauzier J, Gallandat K, Jeandron A, Kamwiziku G, Porten K, Luquero F, Abedi AA, Rumedeka BB, Miwanda B, Michael M, Okitayemba PW, Saidi JM, Piarroux R, Weill FX, Dalsgaard A, Quilici ML.","Emerg Infect Dis. 2023 Jan;29(1):149-153. doi: 10.3201/eid2901.220641.","Hounmanou YMG","Emerg Infect Dis","2023","2022/12/27","PMC9796204","","10.3201/eid2901.220641"
"37486160","Spatial Epidemiologic Analysis and Risk Factors for Nontuberculous Mycobacteria Infections, Missouri, USA, 2008-2019","Mejia-Chew C, Chavez MA, Lian M, McKee A, Garrett L, Bailey TC, Spec A, Agarwal M, Turabelidze G.","Emerg Infect Dis. 2023 Aug;29(8):1540-1546. doi: 10.3201/eid2908.230378.","Mejia-Chew C","Emerg Infect Dis","2023","2023/07/24","PMC10370856","","10.3201/eid2908.230378"
"37209668","Case Studies and Literature Review of Francisella tularensis-Related Prosthetic Joint Infection","Ponderand L, Guimard T, Lazaro E, Dupuy H, Peuchant O, Roch N, Deroche P, Ferry T, Maurin M, Hennebique A, Boisset S, Pelloux I, Caspar Y.","Emerg Infect Dis. 2023 Jun;29(6):1118-1126. doi: 10.3201/eid2906.221395.","Ponderand L","Emerg Infect Dis","2023","2023/05/20","PMC10202857","","10.3201/eid2906.221395"
"37877713","Case Report and Literature Review of Prosthetic Cardiovascular Mucormycosis","Hoellinger B, Magnus L, Ruch Y, Ohana M, Hansmann Y, Letscher-Bru V, Lejay A, Chakfé N, Danion F.","Emerg Infect Dis. 2023 Nov;29(11):2388-2390. doi: 10.3201/eid2911.230837.","Hoellinger B","Emerg Infect Dis","2023","2023/10/25","PMC10617327","","10.3201/eid2911.230837"
"28980894","Influenza A(H9N2) Virus, Burkina Faso","Zecchin B, Minoungou G, Fusaro A, Moctar S, Ouedraogo-Kaboré A, Schivo A, Salviato A, Marciano S, Monne I.","Emerg Infect Dis. 2017 Dec;23(12):2118-2119. doi: 10.3201/eid2312.171294. Epub 2017 Dec 17.","Zecchin B","Emerg Infect Dis","2017","2017/10/06","PMC5708222","","10.3201/eid2312.171294"
"30789328","Mycobacterium tuberculosis RD-Rio Strain in Kazakhstan","Skiba Y, Mokrousov I, Nabirova D, Vyazovaya A, Maltseva E, Malakhova N, Ismagulova G, Pole I, Ranka R, Sapiyeva Z, Ismailov S, Moffett D.","Emerg Infect Dis. 2019 Mar;25(3):604-606. doi: 10.3201/eid2503.181179.","Skiba Y","Emerg Infect Dis","2019","2019/02/22","PMC6390763","","10.3201/eid2503.181179"
"30789124","Drug-Resistant Tuberculosis, Lebanon, 2016 - 2017","El Achkar S, Demanche C, Osman M, Rafei R, Ismail MB, Yaacoub H, Pinçon C, Duthoy S, De Matos F, Gaudin C, Trovato A, Cirillo DM, Hamze M, Supply P.","Emerg Infect Dis. 2019 Mar;25(3):564-568. doi: 10.3201/eid2503.181375.","El Achkar S","Emerg Infect Dis","2019","2019/02/22","PMC6390733","","10.3201/eid2503.181375"
"37044131","Cystic Echinococcosis in Northern New Hampshire, USA","AlSalman A, Mathewson A, Martin IW, Mahatanan R, Talbot EA.","Emerg Infect Dis. 2023 May;29(5):1057-1058. doi: 10.3201/eid2905.221828. Epub 2023 Apr 12.","AlSalman A","Emerg Infect Dis","2023","2023/04/12","PMC10124641","","10.3201/eid2905.221828"
"36692867","Nocardia neocaledoniensis as Rare Cause of Spondylodiscitis","Choquet E, Rodriguez-Nava V, Peltier F, Wankap-Mogo R, Bergeron E, Joseph C, Lemaitre N.","Emerg Infect Dis. 2023 Feb;29(2):444-446. doi: 10.3201/eid2902.221389.","Choquet E","Emerg Infect Dis","2023","2023/01/24","PMC9881783","","10.3201/eid2902.221389"
"37877547","Genotypic Evolution of Klebsiella pneumoniae Sequence Type 512 during Ceftazidime/Avibactam, Meropenem/Vaborbactam, and Cefiderocol Treatment, Italy","Arcari G, Cecilia F, Oliva A, Polani R, Raponi G, Sacco F, De Francesco A, Pugliese F, Carattoli A.","Emerg Infect Dis. 2023 Nov;29(11):2266-2274. doi: 10.3201/eid2911.230921.","Arcari G","Emerg Infect Dis","2023","2023/10/25","PMC10617348","","10.3201/eid2911.230921"
"28322690","Biologic Evidence Required for Zika Disease Enhancement by Dengue Antibodies","Halstead SB.","Emerg Infect Dis. 2017 Apr;23(4):569-573. doi: 10.3201/eid2304.161879.","Halstead SB","Emerg Infect Dis","2017","2017/03/22","PMC5367429","","10.3201/eid2304.161879"
