PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"16710959","Novel recombinant sapovirus, Japan","Phan TG, Okitsu S, Müller WE, Kohno H, Ushijima H.","Emerg Infect Dis. 2006 May;12(5):865-7. doi: 10.3201/eid1205.051608.","Phan TG","Emerg Infect Dis","2006","2006/05/23","PMC3374439","","10.3201/eid1205.051608"
"21029549","Typhoid fever among children, Ghana","Marks F, Adu-Sarkodie Y, Hünger F, Sarpong N, Ekuban S, Agyekum A, Nkrumah B, Schwarz NG, Favorov MO, Meyer CG, May J.","Emerg Infect Dis. 2010 Nov;16(11):1796-7. doi: 10.3201/eid1611.100388.","Marks F","Emerg Infect Dis","2010","2010/10/30","PMC3294512","","10.3201/eid1611.100388"
"20587185","Detection of Lassa virus, Mali","Safronetz D, Lopez JE, Sogoba N, Traore' SF, Raffel SJ, Fischer ER, Ebihara H, Branco L, Garry RF, Schwan TG, Feldmann H.","Emerg Infect Dis. 2010 Jul;16(7):1123-6. doi: 10.3201/eid1607.100146.","Safronetz D","Emerg Infect Dis","2010","2010/07/01","PMC3321918","","10.3201/eid1607.100146"
"16752476","Linguatuliasis in Germany","Tappe D, Winzer R, Büttner DW, Ströbel P, Stich A, Klinker H, Frosch M.","Emerg Infect Dis. 2006 Jun;12(6):1034-6. doi: 10.3201/eid1206.051413.","Tappe D","Emerg Infect Dis","2006","2006/06/07","PMC3293438","","10.3201/eid1206.051413"
"20507760","Pandemic (H1N1) 2009, Shanghai, China","Shen Y, Lu H.","Emerg Infect Dis. 2010 Jun;16(6):1011-3. doi: 10.3201/eid1606.090991.","Shen Y","Emerg Infect Dis","2010","2010/05/29","PMC3086218","","10.3201/eid1606.090991"
"20113577","The critical role of permanent voucher specimens of hosts and vectors in public health and epidemiology","Peterson AT.","Emerg Infect Dis. 2010 Feb;16(2):341-2. doi: 10.3201/eid1602.091241.","Peterson AT","Emerg Infect Dis","2010","2010/02/02","PMC2958023","","10.3201/eid1602.091241"
"16972359","Rat-bite fever, Canada","Schachter ME, Wilcox L, Rau N, Yamamura D, Brown S, Lee CH.","Emerg Infect Dis. 2006 Aug;12(8):1301-2. doi: 10.3201/eid1208.060044.","Schachter ME","Emerg Infect Dis","2006","2006/09/16","PMC3291220","","10.3201/eid1208.060044"
"20031059","Novel human parechovirus, Sri Lanka","Kim Pham NT, Trinh QD, Takanashi S, Abeysekera C, Abeygunawardene A, Shimizu H, Khamrin P, Okitsu S, Mizuguchi M, Ushijima H.","Emerg Infect Dis. 2010 Jan;16(1):130-2. doi: 10.3201/eid1601.091105.","Kim Pham NT","Emerg Infect Dis","2010","2009/12/25","PMC2874375","","10.3201/eid1601.091105"
"19961712","Porcine kobuvirus in piglets, Thailand","Khamrin P, Maneekarn N, Kongkaew A, Kongkaew S, Okitsu S, Ushijima H.","Emerg Infect Dis. 2009 Dec;15(12):2075-6. doi: 10.3201/eid1512.090724.","Khamrin P","Emerg Infect Dis","2009","2009/12/08","PMC3044534","","10.3201/eid1512.090724"
"20350397","Reemergence of dengue in Mauritius","Issack MI, Pursem VN, Barkham TM, Ng LC, Inoue M, Manraj SS.","Emerg Infect Dis. 2010 Apr;16(4):716-8. doi: 10.3201/eid1604.091582.","Issack MI","Emerg Infect Dis","2010","2010/03/31","PMC3321960","","10.3201/eid1604.091582"
"16707069","Mixed Cryptosporidium infections and HIV","Cama V, Gilman RH, Vivar A, Ticona E, Ortega Y, Bern C, Xiao L.","Emerg Infect Dis. 2006 Jun;12(6):1025-8. doi: 10.3201/eid1206.060015.","Cama V","Emerg Infect Dis","2006","2006/05/19","PMC3373040","","10.3201/eid1206.060015"
"16704815","Economic impact of Lyme disease","Zhang X, Meltzer MI, Peña CA, Hopkins AB, Wroth L, Fix AD.","Emerg Infect Dis. 2006 Apr;12(4):653-60. doi: 10.3201/eid1204.050602.","Zhang X","Emerg Infect Dis","2006","2006/05/18","PMC3294685","","10.3201/eid1204.050602"
"20507751","Novel norovirus in dogs with diarrhea","Mesquita JR, Barclay L, Nascimento MS, Vinjé J.","Emerg Infect Dis. 2010 Jun;16(6):980-2. doi: 10.3201/eid1606.091861.","Mesquita JR","Emerg Infect Dis","2010","2010/05/29","PMC3086253","","10.3201/eid1606.091861"
"20350391","Evolution of porcine kobuvirus infection, Hungary","Reuter G, Kecskémeti S, Pankovics P.","Emerg Infect Dis. 2010 Apr;16(4):696-8. doi: 10.3201/eid1604.090937.","Reuter G","Emerg Infect Dis","2010","2010/03/31","PMC3321945","","10.3201/eid1604.090937"
"21122249","Ribavirin for Lassa fever postexposure prophylaxis","Hadi CM, Goba A, Khan SH, Bangura J, Sankoh M, Koroma S, Juana B, Bah A, Coulibaly M, Bausch DG.","Emerg Infect Dis. 2010 Dec;16(12):2009-11. doi: 10.3201/eid1612.100994.","Hadi CM","Emerg Infect Dis","2010","2010/12/03","PMC3294560","","10.3201/eid1612.100994"
"20113584","Marburg virus in fruit bat, Kenya","Kuzmin IV, Niezgoda M, Franka R, Agwanda B, Markotter W, Breiman RF, Shieh WJ, Zaki SR, Rupprecht CE.","Emerg Infect Dis. 2010 Feb;16(2):352-4. doi: 10.3201/eid1602.091269.","Kuzmin IV","Emerg Infect Dis","2010","2010/02/02","PMC2958024","","10.3201/eid1602.091269"
"20507774","Laboratory diagnosis of Lassa fever, liberia","Panning M, Emmerich P, Olschläger S, Bojenko S, Koivogui L, Marx A, Lugala PC, Günther S, Bausch DG, Drosten C.","Emerg Infect Dis. 2010 Jun;16(6):1041-3. doi: 10.3201/eid1606.100040.","Panning M","Emerg Infect Dis","2010","2010/05/29","PMC3086251","","10.3201/eid1606.100040"
"20350404","Avian influenza prevalence in pigs, Egypt","El-Sayed A, Awad W, Fayed A, Hamann HP, Zschöck M.","Emerg Infect Dis. 2010 Apr;16(4):726-7. doi: 10.3201/eid1604.091316.","El-Sayed A","Emerg Infect Dis","2010","2010/03/31","PMC3321951","","10.3201/eid1604.091316"
"20587184","Postexposure treatment of Marburg virus infection","Geisbert TW, Hensley LE, Geisbert JB, Leung A, Johnson JC, Grolla A, Feldmann H.","Emerg Infect Dis. 2010 Jul;16(7):1119-22. doi: 10.3201/eid1607.100159.","Geisbert TW","Emerg Infect Dis","2010","2010/07/01","PMC3321919","","10.3201/eid1607.100159"
"20350403","Dual seasonal patterns for influenza, China","Shu YL, Fang LQ, de Vlas SJ, Gao Y, Richardus JH, Cao WC.","Emerg Infect Dis. 2010 Apr;16(4):725-6. doi: 10.3201/eid1604.091578.","Shu YL","Emerg Infect Dis","2010","2010/03/31","PMC3321959","","10.3201/eid1604.091578"
"20202450","Measles outbreak, the Netherlands, 2008","Hahne S, te Wierik MJ, Mollema L, van Velzen E, de Coster E, Swaan C, de Melker H, van Binnendijk R.","Emerg Infect Dis. 2010 Mar;16(3):567-9. doi: 10.3201/eid1603.090114.","Hahne S","Emerg Infect Dis","2010","2010/03/06","PMC3322001","","10.3201/eid1603.090114"
"20678345","Leptospira serovar as prognostic factor","Suzuki M, Ariyoshi K.","Emerg Infect Dis. 2010 Aug;16(8):1333; author reply 1333. doi: 10.3201/eid1608.100520.","Suzuki M","Emerg Infect Dis","2010","2010/08/04","PMC3298314","","10.3201/eid1608.100520"
"20350399","One flu for One Health","Capua I, Cattoli G.","Emerg Infect Dis. 2010 Apr;16(4):719. doi: 10.3201/eid1604.091593.","Capua I","Emerg Infect Dis","2010","2010/03/31","PMC3321965","","10.3201/eid1604.091593"
"21029523","Oropharyngeal cancer epidemic and human papillomavirus","Ramqvist T, Dalianis T.","Emerg Infect Dis. 2010 Nov;16(11):1671-7. doi: 10.3201/eid1611.100452.","Ramqvist T","Emerg Infect Dis","2010","2010/10/30","PMC3294514","","10.3201/eid1611.100452"
"20587178","Human Infection with Rickettsia felis, Kenya","Richards AL, Jiang J, Omulo S, Dare R, Abdirahman K, Ali A, Sharif SK, Feikin DR, Breiman RF, Njenga MK.","Emerg Infect Dis. 2010 Jul;16(7):1081-6. doi: 10.3201/eid1607.091885.","Richards AL","Emerg Infect Dis","2010","2010/07/01","PMC3321909","","10.3201/eid1607.091885"
"20350388","Merkel cell polyomavirus in cutaneous swabs","Foulongne V, Kluger N, Dereure O, Mercier G, Molès JP, Guillot B, Segondy M.","Emerg Infect Dis. 2010 Apr;16(4):685-7. doi: 10.3201/eid1604.091278.","Foulongne V","Emerg Infect Dis","2010","2010/03/31","PMC3321950","","10.3201/eid1604.091278"
"20202437","Climate warming and tick-borne encephalitis, Slovakia","Lukan M, Bullova E, Petko B.","Emerg Infect Dis. 2010 Mar;16(3):524-6. doi: 10.3201/eid1603.081364.","Lukan M","Emerg Infect Dis","2010","2010/03/06","PMC3321998","","10.3201/eid1603.081364"
"20350390","Sympatric occurrence of 3 arenaviruses, Tanzania","de Bellocq JG, Borremans B, Katakweba A, Makundi R, Baird SJ, Becker-Ziaja B, Günther S, Leirs H.","Emerg Infect Dis. 2010 Apr;16(4):692-5. doi: 10.3201/eid1604.091721.","de Bellocq JG","Emerg Infect Dis","2010","2010/03/31","PMC3321973","","10.3201/eid1604.091721"
"20113556","Tropheryma whipplei in patients with pneumonia","Bousbia S, Papazian L, Auffray JP, Fenollar F, Martin C, Li W, Chiche L, La Scola B, Raoult D.","Emerg Infect Dis. 2010 Feb;16(2):258-63. doi: 10.3201/eid1602.090610.","Bousbia S","Emerg Infect Dis","2010","2010/02/02","PMC2957999","","10.3201/eid1602.090610"
"17176564","Active surveillance for candidemia, Australia","Chen S, Slavin M, Nguyen Q, Marriott D, Playford EG, Ellis D, Sorrell T; Australian Candidemia Study.","Emerg Infect Dis. 2006 Oct;12(10):1508-16. doi: 10.3201/eid1210.060389.","Chen S","Emerg Infect Dis","2006","2006/12/21","PMC3290948","","10.3201/eid1210.060389"
"21122213","Hantavirus pulmonary syndrome in Argentina, 1995-2008","Martinez VP, Bellomo CM, Cacace ML, Suarez P, Bogni L, Padula PJ.","Emerg Infect Dis. 2010 Dec;16(12):1853-60. doi: 10.3201/eid1612.091170.","Martinez VP","Emerg Infect Dis","2010","2010/12/03","PMC3294556","","10.3201/eid1612.091170"
"20113565","Plasmodium falciparum malaria, southern Algeria, 2007","Boubidi SC, Gassen I, Khechache Y, Lamali K, Tchicha B, Brengues C, Menegon M, Severini C, Fontenille D, Harrat Z.","Emerg Infect Dis. 2010 Feb;16(2):301-3. doi: 10.3201/eid1602.090914.","Boubidi SC","Emerg Infect Dis","2010","2010/02/02","PMC2958010","","10.3201/eid1602.090914"
"19961711","Parachlamydia and rhabdochlamydia in premature neonates","Lamoth F, Aeby S, Schneider A, Jaton-Ogay K, Vaudaux B, Greub G.","Emerg Infect Dis. 2009 Dec;15(12):2072-5. doi: 10.3201/eid1512.090267.","Lamoth F","Emerg Infect Dis","2009","2009/12/08","PMC3044521","","10.3201/eid1512.090267"
"20031035","Public health threat of new, reemerging, and neglected zoonoses in the industrialized world","Cutler SJ, Fooks AR, van der Poel WH.","Emerg Infect Dis. 2010 Jan;16(1):1-7. doi: 10.3201/eid1601.081467.","Cutler SJ","Emerg Infect Dis","2010","2009/12/25","PMC2874344","","10.3201/eid1601.081467"
"17953116","Nephropathia epidemica in metropolitan area, Germany","Essbauer SS, Schmidt-Chanasit J, Madeja EL, Wegener W, Friedrich R, Petraityte R, Sasnauskas K, Jacob J, Koch J, Dobler G, Conraths FJ, Pfeffer M, Pitra C, Ulrich RG.","Emerg Infect Dis. 2007 Aug;13(8):1271-3. doi: 10.3201/eid1308.061425.","Essbauer SS","Emerg Infect Dis","2007","2007/10/24","PMC2828076","","10.3201/eid1308.061425"
"17479890","Host-associated genetic import in Campylobacter jejuni","McCarthy ND, Colles FM, Dingle KE, Bagnall MC, Manning G, Maiden MC, Falush D.","Emerg Infect Dis. 2007 Feb;13(2):267-72. doi: 10.3201/eid1302.060620.","McCarthy ND","Emerg Infect Dis","2007","2007/05/08","PMC2063414","UKMS1076","10.3201/eid1302.060620"
"17073097","Extrapulmonary Tuberculosis among Somalis in Minnesota","Rock RB, Sutherland WM, Baker C, Williams DN.","Emerg Infect Dis. 2006 Sep;12(9):1434-6. doi: 10.3201/eid1209.050295.","Rock RB","Emerg Infect Dis","2006","2006/11/01","PMC3294725","","10.3201/eid1209.050295"
"16848045","Leishmaniasis among gold miners, French Guiana","Rotureau B, Joubert M, Clyti E, Djossou F, Carme B.","Emerg Infect Dis. 2006 Jul;12(7):1169-70. doi: 10.3201/eid1207.051466.","Rotureau B","Emerg Infect Dis","2006","2006/07/20","PMC3291051","","10.3201/eid1207.051466"
"16715582","Rift Valley fever in goats, Cameroon","LeBreton M, Umlauf S, Djoko CF, Daszak P, Burke DS, Kwenkam PY, Wolfe ND.","Emerg Infect Dis. 2006 Apr;12(4):702-3. doi: 10.3201/eid1204.051428.","LeBreton M","Emerg Infect Dis","2006","2006/05/24","PMC3294709","","10.3201/eid1204.051428"
"16965718","OFFLU network on avian influenza","Edwards S.","Emerg Infect Dis. 2006 Aug;12(8):1287-8. doi: 10.3201/eid1708.060380.","Edwards S","Emerg Infect Dis","2006","2006/09/13","PMC3291235","","10.3201/eid1708.060380"
"16836839","Azithromycin failure in Mycoplasma genitalium urethritis","Bradshaw CS, Jensen JS, Tabrizi SN, Read TR, Garland SM, Hopkins CA, Moss LM, Fairley CK.","Emerg Infect Dis. 2006 Jul;12(7):1149-52. doi: 10.3201/eid1207.051558.","Bradshaw CS","Emerg Infect Dis","2006","2006/07/14","PMC3291056","","10.3201/eid1207.051558"
"17073087","Risk for tuberculosis among children","Nakaoka H, Lawson L, Squire SB, Coulter B, Ravn P, Brock I, Hart CA, Cuevas LE.","Emerg Infect Dis. 2006 Sep;12(9):1383-8. doi: 10.3201/eid1209.051606.","Nakaoka H","Emerg Infect Dis","2006","2006/11/01","PMC3294731","","10.3201/eid1209.051606"
"20202421","Invasive Haemophilus influenzae Disease, Europe, 1996-2006","Ladhani S, Slack MP, Heath PT, von Gottberg A, Chandra M, Ramsay ME; European Union Invasive Bacterial Infection Surveillance participants.","Emerg Infect Dis. 2010 Mar;16(3):455-63. doi: 10.3201/eid1603.090290.","Ladhani S","Emerg Infect Dis","2010","2010/03/06","PMC3322004","","10.3201/eid1603.090290"
"20678332","Human Rickettsia heilongjiangensis infection, Japan","Ando S, Kurosawa M, Sakata A, Fujita H, Sakai K, Sekine M, Katsumi M, Saitou W, Yano Y, Takada N, Takano A, Kawabata H, Hanaoka N, Watanabe H, Kurane I, Kishimoto T.","Emerg Infect Dis. 2010 Aug;16(8):1306-8. doi: 10.3201/eid1608.100049.","Ando S","Emerg Infect Dis","2010","2010/08/04","PMC3298298","","10.3201/eid1608.100049"
"20350412","Hantavirus pulmonary syndrome, French Guiana","Matheus S, Djossou F, Moua D, Bourbigot AM, Hommel D, Lacoste V, Dussart P, Lavergne A.","Emerg Infect Dis. 2010 Apr;16(4):739-41. doi: 10.3201/eid1604.090831.","Matheus S","Emerg Infect Dis","2010","2010/03/31","PMC3321943","","10.3201/eid1604.090831"
"16710958","Extended-spectrum beta-lactamase-producing Enterobacteriaceae, Central African Republic","Frank T, Arlet G, Gautier V, Talarmin A, Bercion R.","Emerg Infect Dis. 2006 May;12(5):863-5. doi: 10.3201/eid1205.050951.","Frank T","Emerg Infect Dis","2006","2006/05/23","PMC3374433","","10.3201/eid1205.050951"
"20507764","The wages of original antigenic sin","Morens DM, Burke DS, Halstead SB.","Emerg Infect Dis. 2010 Jun;16(6):1023-4. doi: 10.3201/eid1606.100453.","Morens DM","Emerg Infect Dis","2010","2010/05/29","PMC3086238","","10.3201/eid1606.100453"
"20409403","Increase in pneumococcus macrolide resistance, USA","Hicks LA, Monnet DL, Roberts RM.","Emerg Infect Dis. 2010 May;16(5):896-7. doi: 10.3201/eid1605.091424.","Hicks LA","Emerg Infect Dis","2010","2010/04/23","PMC2953996","","10.3201/eid1605.091424"
"20031064","Laboratory surge capacity and pandemic influenza","Meltzer MI, McNeill KM, Miller JD.","Emerg Infect Dis. 2010 Jan;16(1):147-8. doi: 10.3201/eid1601.091741.","Meltzer MI","Emerg Infect Dis","2010","2009/12/25","PMC2874389","","10.3201/eid1601.091741"
"16710954","Novel recombinant norovirus in China","Phan TG, Yan H, Li Y, Okitsu S, Müller WE, Ushijima H.","Emerg Infect Dis. 2006 May;12(5):857-8. doi: 10.3201/eid1205.051566.","Phan TG","Emerg Infect Dis","2006","2006/05/23","PMC3374456","","10.3201/eid1205.051566"
"17479904","Pneumocystis pneumonia in HIV-positive adults, Malawi","van Oosterhout JJ, Laufer MK, Perez MA, Graham SM, Chimbiya N, Thesing PC, Alvarez-Martinez MJ, Wilson PE, Chagomerana M, Zijlstra EE, Taylor TE, Plowe CV, Meshnick SR.","Emerg Infect Dis. 2007 Feb;13(2):325-8. doi: 10.3201/eid1302.060462.","van Oosterhout JJ","Emerg Infect Dis","2007","2007/05/08","PMC2725875","","10.3201/eid1302.060462"
"18394269","Bluetongue epidemiology in the European Union","Saegerman C, Berkvens D, Mellor PS.","Emerg Infect Dis. 2008 Apr;14(4):539-44. doi: 10.3201/eid1404.071441.","Saegerman C","Emerg Infect Dis","2008","2008/04/09","PMC2570923","","10.3201/eid1404.071441"
"20350411","Buruli ulcer lesions in HIV-positive patient","Kibadi K, Colebunders R, Muyembe-Tamfum JJ, Meyers WM, Portaels F.","Emerg Infect Dis. 2010 Apr;16(4):738-9. doi: 10.3201/eid1604.091343.","Kibadi K","Emerg Infect Dis","2010","2010/03/31","PMC3321952","","10.3201/eid1604.091343"
"20350389","Novel Corynebacterium diphtheriae in domestic cats","Hall AJ, Cassiday PK, Bernard KA, Bolt F, Steigerwalt AG, Bixler D, Pawloski LC, Whitney AM, Iwaki M, Baldwin A, Dowson CG, Komiya T, Takahashi M, Hinrikson HP, Tondella ML.","Emerg Infect Dis. 2010 Apr;16(4):688-91. doi: 10.3201/eid1604.091107.","Hall AJ","Emerg Infect Dis","2010","2010/03/31","PMC3321947","","10.3201/eid1604.091107"
"20113591","Hemorrhagic fever with renal syndrome, Vietnam","Huong VT, Yoshimatsu K, Luan VD, Tuan le V, Nhi L, Arikawa J, Nguyen TM.","Emerg Infect Dis. 2010 Feb;16(2):363-5. doi: 10.3201/eid1602.091204.","Huong VT","Emerg Infect Dis","2010","2010/02/02","PMC2958020","","10.3201/eid1602.091204"
"20202430","Candidatus Bartonella mayotimonensis and endocarditis","Lin EY, Tsigrelis C, Baddour LM, Lepidi H, Rolain JM, Patel R, Raoult D.","Emerg Infect Dis. 2010 Mar;16(3):500-3. doi: 10.3201/eid1603.081673.","Lin EY","Emerg Infect Dis","2010","2010/03/06","PMC3321999","","10.3201/eid1603.081673"
"20507765","Who is this man?","Schultz MG.","Emerg Infect Dis. 2010 Jun;16(6):1025-7. doi: 10.3201/eid1606.091937.","Schultz MG","Emerg Infect Dis","2010","2010/05/29","PMC3086236","","10.3201/eid1606.091937"
"20202436","Novel spotted fever group rickettsiosis, Brazil","Spolidorio MG, Labruna MB, Mantovani E, Brandao PE, Richtzenhain LJ, Yoshinari NH.","Emerg Infect Dis. 2010 Mar;16(3):521-3. doi: 10.3201/eid1603.091338.","Spolidorio MG","Emerg Infect Dis","2010","2010/03/06","PMC3322033","","10.3201/eid1603.091338"
"16707046","Human Streptococcus suis outbreak, Sichuan, China","Yu H, Jing H, Chen Z, Zheng H, Zhu X, Wang H, Wang S, Liu L, Zu R, Luo L, Xiang N, Liu H, Liu X, Shu Y, Lee SS, Chuang SK, Wang Y, Xu J, Yang W; Streptococcus suis study groups.","Emerg Infect Dis. 2006 Jun;12(6):914-20. doi: 10.3201/eid1206.051194.","Yu H","Emerg Infect Dis","2006","2006/05/19","PMC3373052","","10.3201/eid1206.051194"
"20031074","Imported chikungunya virus infection","Soumahoro MK, Fontenille D, Turbelin C, Pelat C, Boyd A, Flahault A, Hanslik T.","Emerg Infect Dis. 2010 Jan;16(1):162-3. doi: 10.3201/eid1601.080776.","Soumahoro MK","Emerg Infect Dis","2010","2009/12/25","PMC2874343","","10.3201/eid1601.080776"
"20350407","Panton-Valentine leukocidin-positive MRSA, Shanghai","Han LZ, Ho PL, Ni YX, Zhang H, Jiang YQ, Chu HQ, Sun Y, Zhang YB.","Emerg Infect Dis. 2010 Apr;16(4):731-3. doi: 10.3201/eid1604.081324.","Han LZ","Emerg Infect Dis","2010","2010/03/31","PMC3321931","","10.3201/eid1604.081324"
